Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,phone,Jun18,OK
USPS JOSE MARTI STATION,Postal,"425 NW 27TH AVE MIAMI, FL 33125",3055412782,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passport.htm",3,,JUN 18 No Appointments,False
USPS MIAMI BEACH MAIN POST OFFICE,Postal,"1300 WASHINGTON AVENUE MIAMI BEACH, FL 33139",3055385187,Yes,"***BY APPOINTMENT ONLY*** 305 672-2447 To schedule an appointment, visit: http://www.usps.com/scheduler.",3,305-672-2447,JUN 18 No Appointments,False
USPS LITTLE RIVER BRANCH,Postal,"140 NE 84TH ST MIAMI, FL 33138",3057541906,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",4,,JUN 18 No Appointments,False
USPS OCEAN VIEW POST OFFICE,Postal,"445 W 40TH ST MIAMI BEACH, FL 33140",3055386536,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",4,,JUN 18 No Appointments,False
USPS HIALEAH MAIN POST OFFICE,Postal,"325 E 1ST AVE HIALEAH, FL 33010",3058895421,Yes,***By Appointments** Visit Website: https://www.usps.com/international/passports.htm,6,,JUN 18 No Appointments,False
USPS KEY BISCAYNE BRANCH,Postal,"951 CRANDON BLVD KEY BISCAYNE, FL 33149",3053619149,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",6,,JUN 18 No Appointments,False
USPS NORMANDY POST OFFICE,Postal,"525 71ST ST MIAMI BEACH, FL 33141",3058649868,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler or call 1-855-864-3379",6,855-864-3379,JUN 18 No Appointments,False
USPS MIAMI GENERAL MAIL FACILITY,Postal,"2200 NW 72ND AVE MIAMI, FL 33152",3054700381,Yes,***BY APPOINTMENT ONLY*** Call 855-864-3379 Website: http://www.usps.com/international/passports.htm,7,855-864-3379,JUN 18 No Appointments,False
USPS PROMENADE BRANCH,Postal,"3690 W 18TH AVE HIALEAH, FL 33012",3058199945,Yes,***For appointment visit website: https://www.usps.com/international/passports.htm,8,,JUN 18 No Appointments,False
USPS SOUTH MIAMI BRANCH,Postal,"5927 SW 70TH ST MIAMI, FL 33143",3056615435,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",8,,JUN 18 No Appointments,False
USPS NORTH MIAMI BRANCH,Postal,"14311 BISCAYNE BLVD NORTH MIAMI, FL 33181",3053544612,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",8,,JUN 18 No Appointments,False
USPS PALMETTO LAKES POST OFFICE,Postal,"5375 NW 159TH ST HIALEAH, FL 33014",3056237993,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",10,,JUN 18 No Appointments,False
USPS EL MERCADO POSTAL STORE,Postal,"2440 W 60TH ST HIALEAH, FL 33016",3058229954,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",11,,JUN 18 No Appointments,False
USPS KENDALL FINANCE UNIT,Postal,"8821 SW 136TH ST MIAMI, FL 33176",3052351546,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",13,,JUN 18 No Appointments,False
USPS SNAPPER CREEK BRANCH,Postal,"11000 SW 104TH ST MIAMI, FL 33116",3052700335,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",13,,JUN 18 No Appointments,False
USPS TOWN AND COUNTRY POSTAL STORE,Postal,"8266 MILLS DR MIAMI, FL 33283",3052790679,Yes,"***BY APPOINTMENT ONLY*** 1-855-864-3379 To schedule an appointment, visit: http://www.usps.com/scheduler.",13,855-864-3379,JUN 18 No Appointments,False
USPS HALLANDALE MAIN POST OFFICE,Postal,"500 S FEDERAL HWY HALLANDALE BEACH, FL 33009",9544559733,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",14,,JUN 18 No Appointments,False
USPS HOLLYWOOD MAIN POST OFFICE,Postal,"1801 POLK ST HOLLYWOOD, FL 33022",9549268669,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",16,,JUN 18 No Appointments,False
USPS QUAIL HEIGHTS BRANCH,Postal,"10360 SW 186TH ST MIAMI, FL 33197",3052534910,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",16,,JUN 18 No Appointments,False
USPS DANIA POST OFFICE,Postal,"21 NW 1ST AVE DANIA, FL 33004",9543746236,No,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",18,,JUN 18 No Appointments,False
USPS ALRIDGE STATION,Postal,"400 NW 7TH AVE FORT LAUDERDALE, FL 33311",9545232699,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",24,,JUN 18 No Appointments,False
USPS EVERGLADES BRANCH,Postal,"6759 SW 196TH AVE FORT LAUDERDALE, FL 33332",9544348517,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",25,,JUN 18 No Appointments,False
USPS FORT LAUDERDALE MAIN POST OFFICE,Postal,"1900 W OAKLAND PARK BLVD FORT LAUDERDALE, FL 33310",9545273245,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",26,,JUN 18 No Appointments,False
USPS SUNRISE BRANCH,Postal,"3225 N HIATUS RD SUNRISE, FL 33345",9547464910,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",27,,JUN 18 No Appointments,False
USPS HOMESTEAD MAIN POST OFFICE,Postal,"739 WASHINGTON AVE HOMESTEAD, FL 33030",3052474689,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: https://www.usps.com/international/passports.htm",28,,JUN 18 No Appointments,False
USPS DEERFIELD BEACH POST OFFICE,Postal,"212 E HILLSBORO BLVD DEERFIELD BEACH, FL 33441",9544210812,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",36,,JUN 18 No Appointments,False
USPS DOWNTOWN BOCA RATON POST OFFICE,Postal,"170 NE 2ND ST BOCA RATON, FL 33432",5613628136,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",39,,JUN 18 No Appointments,False
