Name,Type,Address,Phone,PhotoOnSite,Comments,Distance
USPS JOSE MARTI STATION,Postal,"425 NW 27TH AVE MIAMI, FL 33125",3055412782,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passport.htm",3
CITY OF MIAMI BEACH - FINANCE OFFICE,Municipal,"1755 MERIDIAN AVE MIAMI BEACH, FL 33139",3056737420,Yes,**To schedule appointments please call 305-673-7420 https://cmbappt.miamibeachfl.gov/naoa/index.jsp,3
USPS MIAMI BEACH MAIN POST OFFICE,Postal,"1300 WASHINGTON AVENUE MIAMI BEACH, FL 33139",3055385187,Yes,"***BY APPOINTMENT ONLY*** 305 672-2447 To schedule an appointment, visit: http://www.usps.com/scheduler.",3
USPS LITTLE RIVER BRANCH,Postal,"140 NE 84TH ST MIAMI, FL 33138",3057541906,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",4
USPS OCEAN VIEW POST OFFICE,Postal,"445 W 40TH ST MIAMI BEACH, FL 33140",3055386536,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",4
CITY OF MIAMI,Municipal,"3500 PAN AMERICAN DR MIAMI, FL 33133",3058592705,Yes,By Appointments Only Schedule Appointment visit www.miamigov.com/passport,5
CITY OF CORAL GABLES,Municipal,"4520 PONCE DE LEON BLVD CORAL GABLES, FL 33146",3054605351,Yes,By Appointments Only 305-460-5351 Please schedule an appointment via www.coralgables.com/passports,6
USPS HIALEAH MAIN POST OFFICE,Postal,"325 E 1ST AVE HIALEAH, FL 33010",3058895421,Yes,***By Appointments** Visit Website: https://www.usps.com/international/passports.htm,6
USPS KEY BISCAYNE BRANCH,Postal,"951 CRANDON BLVD KEY BISCAYNE, FL 33149",3053619149,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",6
VILLAGE OF KEY BISCAYNE,Municipal,"10 VILLAGE GREEN WAY KEY BISCAYNE, FL 33149",3053658900,No,***BY APPOINTMENT ONLY*For appointments call 305-365-8900,6
