Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,url,domain,phone,NeedsAppointment
CITY OF MIAMI BEACH - FINANCE OFFICE,Municipal,"1755 MERIDIAN AVE MIAMI BEACH, FL 33139",3056737420,Yes,**To schedule appointments please call 305-673-7420 https://cmbappt.miamibeachfl.gov/naoa/index.jsp,3,https://cmbappt.miamibeachfl.gov/naoa/index.jsp,miamibeachfl,305-673-7420,Unknown
CITY OF MIAMI,Municipal,"3500 PAN AMERICAN DR MIAMI, FL 33133",3058592705,Yes,By Appointments Only Schedule Appointment visit www.miamigov.com/passport,5,https://miamigov.com/passport,miamigov,,True
CITY OF CORAL GABLES,Municipal,"4520 PONCE DE LEON BLVD CORAL GABLES, FL 33146",3054605351,Yes,By Appointments Only 305-460-5351 Please schedule an appointment via www.coralgables.com/passports,6,https://coralgables.com/passports,coralgables,305-460-5351,True
VILLAGE OF KEY BISCAYNE,Municipal,"10 VILLAGE GREEN WAY KEY BISCAYNE, FL 33149",3053658900,No,***BY APPOINTMENT ONLY*For appointments call 305-365-8900,6,,,305-365-8900,True
NORTH BAY VILLAGE - OFFICE OF THE VILLAGE CLERK,Municipal,"1666 KENNEDY CSWY NORTH BAY VILLAGE, FL 33141",3057567171,No,***By Appointment Only***Contact 305-756-7171 for further assistance or visit: https://northbayvillage-fl.gov,6,https://northbayvillage-fl.gov,northbayvillage-fl,305-756-7171,True
USPS SURFSIDE POST OFFICE,Postal,"250 95TH ST MIAMI, FL 33154",3058616054,Yes,"***BY APPOINTMENT ONLY***To schedule an appointment, visit: http://www.usp.com/international/passport.htm",7,https://usp.com/international/passport.htm,usp,,True
CITY OF NORTH MIAMI,Municipal,"776 NE 125TH ST NORTH MIAMI, FL 33161",3058959817,No,To schedule appointments please call(305) 895-9817 Website: https://www.northmiamifl.gov,7,https://northmiamifl.gov,northmiamifl,305-895-9817,Unknown
CITY OF WEST MIAMI,Municipal,"901 SW 62ND AVE WEST MIAMI, FL 33144",3052661122,Yes,By Appointments Only - For further assistance 305-266-1122,7,,,305-266-1122,True
NORTH MIAMI BEACH PUBLIC LIBRARY,Library,"1601 NE 164 ST NORTH MIAMI BEACH, FL 33162",3059482970,No,Appointment Only** Please call 305-948-2970 for further assistance Website: www.nmblib.com,9,https://nmblib.com,nmblib,305-948-2970,True
CITY OF SWEETWATER,Municipal,"512 SW 109TH AVE SWEETWATER, FL 33174",3052073343,Yes,Appointments Only: visit website: buk.app.com,10,https://buk.app.com,app,,True
NORTH DADE REGIONAL LIBRARY,Library,"2455 N.W. 183RD STREET MIAMI GARDENS, FL 33056",3056256424,No,Appointments Required - Please contact us at 305 625-6424 Website: www.dmpls.org,11,https://dmpls.org,dmpls,305-625-6424,True
CITY OF MIRAMAR,Municipal,"2300 CIVIC CENTER PL MIRAMAR, FL 33025",9546023011,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit www.miramarfl.gov",15,https://miramarfl.gov,miramarfl,,True
VILLAGE OF PALMETTO BAY,Municipal,"9705 EAST HIBISCUS ST PALMETTO BAY, FL 33157",3052591234,Yes,By Appointment Only - Please call (305)259-1234 or online at www.palmettobay-fl.gov,15,https://palmettobay-fl.gov,palmettobay-fl,305-259-1234,True
CITY OF PEMBROKE PINES,Municipal,"601 CITY CENTER WAY PEMBROKE PINES, FL 33025",9544501043,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit www.ppines.com/153/Passport-Office or contact (954)450-1043.",15,https://ppines.com/153/passport-office,ppines,954-450-1043,True
