Name,Type,Address,Phone,PhotoOnSite,Comments,Distance,url,domain,phone,NeedsAppointment,zip
USPS JOSE MARTI STATION,Postal,"425 NW 27TH AVE MIAMI, FL 33125",3055412782,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passport.htm",3,https://usps.com/scheduler,usps,,True,33125
USPS MIAMI BEACH MAIN POST OFFICE,Postal,"1300 WASHINGTON AVENUE MIAMI BEACH, FL 33139",3055385187,Yes,"***BY APPOINTMENT ONLY*** 305 672-2447 To schedule an appointment, visit: http://www.usps.com/scheduler.",3,https://usps.com/scheduler,usps,305-672-2447,True,33139
USPS LITTLE RIVER BRANCH,Postal,"140 NE 84TH ST MIAMI, FL 33138",3057541906,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",4,https://usps.com/scheduler,usps,,True,33138
USPS OCEAN VIEW POST OFFICE,Postal,"445 W 40TH ST MIAMI BEACH, FL 33140",3055386536,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",4,https://usps.com/scheduler,usps,,True,33140
USPS HIALEAH MAIN POST OFFICE,Postal,"325 E 1ST AVE HIALEAH, FL 33010",3058895421,Yes,***By Appointments** Visit Website: https://www.usps.com/international/passports.htm,6,https://usps.com/scheduler,usps,,Unknown,33010
USPS KEY BISCAYNE BRANCH,Postal,"951 CRANDON BLVD KEY BISCAYNE, FL 33149",3053619149,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",6,https://usps.com/scheduler,usps,,True,33149
USPS NORMANDY POST OFFICE,Postal,"525 71ST ST MIAMI BEACH, FL 33141",3058649868,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler or call 1-855-864-3379",6,https://usps.com/scheduler,usps,855-864-3379,True,33141
USPS MIAMI GENERAL MAIL FACILITY,Postal,"2200 NW 72ND AVE MIAMI, FL 33152",3054700381,Yes,***BY APPOINTMENT ONLY*** Call 855-864-3379 Website: http://www.usps.com/international/passports.htm,7,https://usps.com/scheduler,usps,855-864-3379,True,33152
USPS PROMENADE BRANCH,Postal,"3690 W 18TH AVE HIALEAH, FL 33012",3058199945,Yes,***For appointment visit website: https://www.usps.com/international/passports.htm,8,https://usps.com/scheduler,usps,,Unknown,33012
USPS SOUTH MIAMI BRANCH,Postal,"5927 SW 70TH ST MIAMI, FL 33143",3056615435,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",8,https://usps.com/scheduler,usps,,True,33143
USPS NORTH MIAMI BRANCH,Postal,"14311 BISCAYNE BLVD NORTH MIAMI, FL 33181",3053544612,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",8,https://usps.com/scheduler,usps,,True,33181
USPS PALMETTO LAKES POST OFFICE,Postal,"5375 NW 159TH ST HIALEAH, FL 33014",3056237993,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",10,https://usps.com/scheduler,usps,,True,33014
USPS EL MERCADO POSTAL STORE,Postal,"2440 W 60TH ST HIALEAH, FL 33016",3058229954,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",11,https://usps.com/scheduler,usps,,True,33016
USPS KENDALL FINANCE UNIT,Postal,"8821 SW 136TH ST MIAMI, FL 33176",3052351546,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",13,https://usps.com/scheduler,usps,,True,33176
USPS SNAPPER CREEK BRANCH,Postal,"11000 SW 104TH ST MIAMI, FL 33116",3052700335,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",13,https://usps.com/scheduler,usps,,True,33116
USPS TOWN AND COUNTRY POSTAL STORE,Postal,"8266 MILLS DR MIAMI, FL 33283",3052790679,Yes,"***BY APPOINTMENT ONLY*** 1-855-864-3379 To schedule an appointment, visit: http://www.usps.com/scheduler.",13,https://usps.com/scheduler,usps,855-864-3379,True,33283
USPS HALLANDALE MAIN POST OFFICE,Postal,"500 S FEDERAL HWY HALLANDALE BEACH, FL 33009",9544559733,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/international/passports.htm",14,https://usps.com/scheduler,usps,,True,33009
USPS HOLLYWOOD MAIN POST OFFICE,Postal,"1801 POLK ST HOLLYWOOD, FL 33022",9549268669,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",16,https://usps.com/scheduler,usps,,True,33022
USPS QUAIL HEIGHTS BRANCH,Postal,"10360 SW 186TH ST MIAMI, FL 33197",3052534910,Yes,"***BY APPOINTMENT ONLY*** To schedule an appointment, visit: http://www.usps.com/scheduler.",16,https://usps.com/scheduler,usps,,True,33197
